"id","title","description","location","event_date","created_at"
"2","FGEN Presentation with Elmwood Kindergarten Students!","I presented to Elmwood's Kindergarten class. They were such an energetic and ready to learn group of kids. I taught them about their brains, mental health, and ways they can keep their brains healthy!","Elmwood School","2024-09-13 02:45:00+00","2025-08-02 23:18:35+00"
"3","FGEN Presentation with Windsor Park Grade 6 Students","I presented to WPS's grade 6 students about their brains, mental health, and ways they can have good mental health. It was a great time, with lots of amazing questions asked!","Windsor Park School","2024-10-01 02:20:00+00","2025-08-05 06:50:13+00"
"4","FGEN Presentation with Windsor Park Grade 4 students","I presented to WPS's grade 4 students about their brains, mental health, and ways they can have good mental health. It was a great time, with lots of amazing questions asked!","Windsor Park School","2024-10-07 14:20:00+00","2025-08-05 06:54:05+00"
"5","FGEN Presentation to Windsor Park Grades 1 and 2 students","I presented to WPS's grade 1 and 2 students about their brains, mental health, and ways they can have good mental health.They were a great and bright group of kids!","Windsor Park School","2024-10-04 14:20:00+00","2025-08-05 06:55:19+00"
"6","FGEN Presentation with Windsor Park Grade 5 Students!","I presented to WPS's grade 5 students about their brains, mental health, and ways they can have good mental health. It was a great time, with lots of amazing questions asked!","Windsor Park School","2024-10-08 14:20:00+00","2025-08-05 06:57:28+00"
"7","FGEN Presentation to Strathcona High School's Psychology 20 Students","I remember when I took psychology 20 in grade 10. It was an amazing experience, and I remembered when a few lessons touched on the brain. Being able to present the brain and mental health to the psych 20 class was a great experience, especially since I got to present to a lot of my peers as well!","Strathcona High School","2024-10-29 14:00:00+00","2025-08-05 06:58:04+00"
"8","FGEN Presentation to Crestwood's Leadership Class","Leadership plays a vital role in the lives of children and youth. I was grateful for the opportunity to present on how the brain and mental health empower young people to lead with confidence and purpose!","Crestwood Junior High School","2025-01-16 12:30:00+00","2025-08-05 07:03:07+00"
"9","FGEN Presentation for Crestwood Junior High's Elementary Students","I presented to all of Crestwood Elementary students in their general assembly! It was such a fun experience, as I got to quiz some students on brain trivia!! Prizes were also given!","Crestwood Junior High School","2025-01-17 08:45:00+00","2025-08-05 07:06:47+00"
"10","FGEN Presentation for Crestwood's Junior High Students","I got to present to all of Crestwood's junior high students in their general assembly. It was great teaching them about their brain and mental health. In addition it was fun administering brain trivia games!","Crestwood Junior High School","2025-01-17 09:30:00+00","2025-08-05 07:08:01+00"
